가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
원주옷집,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매업(의류),의류,,2025-01-28
미리내사진관,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1101,,서비스(사진관),사진,,2025-01-28
대호그릇상회,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 406-7,"그릇,잡화,가전제품,주방용품",주방용품,,2025-01-28
수경이네,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 406-7,의류,의류,,2025-01-28
시장정육점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1107,,정육,정육,,2025-01-28
구룡식당,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,음식(한식),음식,,2025-01-28
은광사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장1길 16,,소매(의류),의류,,2025-01-28
코스코마트,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1102,,"슈퍼마켓 , 식료품 및 잡화",마트,,2025-01-28
진원홍삼,진안고원행복상품권,전북특별자치도,진안군,"전북특별자치도 진안군 진안읍 진무로 1166, 홍삼한방센터 1호점",,소매(건강식품),인삼,,2025-01-28
기찬 홍삼,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 21,,건강보조식품,인삼,,2025-01-28
명품조합마이산명인명품관,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 마이산로 250,,"공예품,공예체험",공예품,,2025-01-28
홍삼카페,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 21,,음료,카페,,2025-01-28
전주가든,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 31,,음식점(한식),음식,,2025-01-28
전주회관,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 외사양길 19,,일반음식점,음식,,2025-01-28
로타리 철물 백화점,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 5,,"건축자재 및 토목자재, 안전용품, 철근, 파이프 등",건축자재,,2025-01-28
가예미용실,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장2길 4,,서비스(미용),미용실,,2025-01-28
농림상사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 시장2길 6,,"소매(슈퍼,생선,건어물,채소)",마트,,2025-01-28
동부OA,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 80-2,,도매업(사무용기기),사무기기,,2025-01-28
만남식당,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진무로 1097-10,,음식(한식),음식,063-432-2050,2025-01-28
엑센스,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진용로 15,,"소매(문구,의류)",문구,,2025-01-28
유한회사 마이산홍벵이 농업회사법인,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안읍 용지동길 12-12,,곤충식품 및 체험,체험,,2025-01-28
제일미용실,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 79,,서비스(일반 미용업),미용실,,2025-01-28
카페(cafe) 77-1,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 77-1,,음식(휴게음식),카페,,2025-01-28
학생사,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 79-1,,"소매(사무용품,운동용품)",문구,,2025-01-28
모녀국수,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 중앙로 81,,음식점업(국수),음식,,2025-01-28
새한미용실,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 군상리 진용로 18,,서비스(미용실),미용실,,2025-01-28
수수호떡,진안고원행복상품권,전북특별자치도,진안군,전북특별자치도 진안군 진안읍 진영로 11,,"음식점(호떡,오뎅)",분식,,2025-01-28
쉼터공작소,진안고원행복상품권,전북특별자치도,진안군,,전북특별자치도 진안군 진안읍 군상리 946-4,소매(예술품 및 골동품),잡화,,2025-01-28
