가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
무주24시 무인빨래방,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 33 (1층),,,,,2025-01-20
무주시장(임보덕),무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 장터로 2,,,,,2025-01-20
무주힘나라홍삼,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 부남면 대소2길 11,,,,,2025-01-20
무주농원,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동로 1053,,,,,2025-01-20
삼일공사,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 유속1길 20-5,,,,,2025-01-20
한진택배 무풍점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무풍면 대덕산로 905,,,,,2025-01-20
무주솔약국,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 80 (1층 102호),,,,,2025-01-20
수원생갈비 설천점,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 무설로 1610 (1층),,,,,2025-01-20
엄마찬스,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 적상면 괴목로 614-4,,,,,2025-01-20
1도씨맥주,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로8길 10 (1층),,,,,2025-01-20
실버벨스복지센터,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로 104,,,,,2025-01-20
무주향,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 구천동로 1077,,,,,2025-01-20
언니네,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 단천로 99 (2동 104호),,,,,2025-01-20
오늘 네일은,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 주계로8길 11,,,,,2025-01-20
동양전기재료,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 설천면 삼도봉로 11 (삼도봉장터 13동),,,,,2025-01-20
전북무주당산 1579,무주사랑상품권,전북특별자치도,무주군,전북특별자치도 무주군 무주읍 당산강변로 106,,,,,2025-01-20
