가맹점명,사용가능지역화폐,시도명,시군구명,소재지도로명주소,소재지지번주소,업종명,주요상품,전화번호,데이터기준일자
상아이크린TOP,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 익산대로16길 48 (갈산동),,생활/리빙,,,2025-06-10
스푼까페,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로51길 58 1층,,기술/기능 교육,,,2025-06-10
(주)신광전자,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로10길 41 (모현동1가),,식자재/유통,,,2025-06-10
진스영어교습소,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로9길 66 상가606동 103호,,기술/기능 교육,,,2025-06-10
대산에너지,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 주현로8길 54-1 (마동),,가전/통신,,,2025-06-10
까꿍,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로22길 22-22 까꿍,,의류/잡화,,,2025-06-10
올스타피자영등점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로30길 3 110동104호,,음식점/식음료업,,,2025-06-10
땡쓰벌룬,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 선화로17길 28, 1층 (모현동1가)",,생활/리빙,,,2025-06-10
푸른야채,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 인북로 251, 2칸 (남중동)",,식자재/유통,,,2025-06-10
남전새우양식장,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 오산면 남전길 55 1층,,식자재/유통,,,2025-06-10
장승골,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 마한로5길 17-14 장승골,,음식점/식음료업,,,2025-06-10
소돈정육점,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 하나로13길 25, 1층 중간호 (영등동)",,식자재/유통,,,2025-06-10
(유)보원,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 선화로 91 (모현동1가),,식자재/유통,,,2025-06-10
한국용접기,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 평동로 613-1, 1층 (인화동1가)",,생활/리빙,,,2025-06-10
별난아재맥주영등점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로34길 29 518동1층102호,,기타,,,2025-06-10
애플PC방,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 부송1로 65, 2층 (부송동,원조마포구이)",,문화/체육,,,2025-06-10
비비뷰티샵(BIBI BEAUTY SHOP),익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 배산로16길 10 1층 비비뷰티샵,,생활/리빙,,,2025-06-10
세븐일레븐 익산장신점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 오산면 선화로4길 12 1층,,식자재/유통,,,2025-06-10
시드니파크장여관,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 배산로6길 29 (모현동1가),,여행/숙박,,,2025-06-10
한국익스프레스,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 부송로8길 4-1 (부송동),,기타,,,2025-06-10
더 좋아 골프,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 하나로13길 8-16 지하,,문화/체육,,,2025-06-10
재활용마트,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 인북로 289-1, 1층 (남중동)",,가구/인테리어,,,2025-06-10
천복집 익산영등점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 마한로 131 1층,,음식점/식음료업,,,2025-06-10
북부한의원,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 인북로 254, 3층 (남중동)",,보건/복지,,,2025-06-10
동서콘크리트,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 함낭로 713, 1층 (용기리)",,식자재/유통,,,2025-06-10
(주)이마젠코리아,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 춘포로 417 (용연리),,디자인/인쇄,,,2025-06-10
(주)로빈스에프앤비,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 고잔길 61-18, (주)로빈스에프앤비 (목천동)",,식자재/유통,,,2025-06-10
라숌(Lachaume),익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 무왕로 1020, 1층 104호 (영등동)",,생활/리빙,,,2025-06-10
금강농장,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 평동로 880-12 (금강동),,식자재/유통,,,2025-06-10
어뉴필라테스 부송점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 부송로 116 5층 어뉴필라테스 부송점,,문화/체육,,,2025-06-10
오늘도연탄구이 부송점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로 1192-1 1층 오늘도연탄구이,,음식점/식음료업,,,2025-06-10
다와 식사와 차,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 배산로 144-7 (모현동1가),,음식점/식음료업,,,2025-06-10
탑플란트치과,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 익산대로52길 53 2층치과,,보건/복지,,,2025-06-10
유디코,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 동서로14길 6 (남중동),,기타,,,2025-06-10
신일코라아워터,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 오산로 93 (장신리),,가전/통신,,,2025-06-10
유일약국,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 금마길 43 (동고도리),,보건/복지,,,2025-06-10
(by the) 써니,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로 258 바이더써니,,기술/기능 교육,,,2025-06-10
농업회사법인쥬얼리토마토주식회,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 송선길 42 (광암리),,식자재/유통,,,2025-06-10
억불종합인테리어,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 평동로3길 48-1 (인화동1가),,가구/인테리어,,,2025-06-10
이리맥주부송점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 선화로73길 38 오투그란데 상가 이리 맥주,,음식점/식음료업,,,2025-06-10
정,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 동서로1길 17-3, 1층 (모현동2가)",,음식점/식음료업,,,2025-06-10
쿠모헤어(KUMO HAIR),익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 궁동로 96 1층 쿠모헤어,,생활/리빙,,,2025-06-10
이원산유도주짓수클럽,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로23길 36 3층,,기술/기능 교육,,,2025-06-10
마한냉열기,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 중앙로31길 25 (마동),,가전/통신,,,2025-06-10
유)시티홈케이티건축자재,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고봉로 345 (영등동),,건축/철물,,,2025-06-10
더드림꼬마김밥,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 하나로 462 1층 더드림꼬마김밥,,음식점/식음료업,,,2025-06-10
이리오지,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 중앙로1길 24-14 101호 이리오지,,음식점/식음료업,,,2025-06-10
그린세차장,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 인북로2길 24 (인화동2가),,자동차/주유,,,2025-06-10
가야,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 함열읍 와리3길 87 1층 가야,,음식점/식음료업,,,2025-06-10
엉클뚱스비어,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 서동로18길 46 2동 103,104호 (동산동,제일아파트상가)",,기타,,,2025-06-10
온즈,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 서동로24길 31-30 2층 온즈카페,,음식점/식음료업,,,2025-06-10
익산전자담배마켓,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 무왕로 1002 (영등동),,생활/리빙,,,2025-06-10
아싸 노래연습장,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 무왕로 1272, 지하 (부송동)",,문화/체육,,,2025-06-10
하나로퀵,익산다이로움카드,전북특별자치도,익산시,"전북특별자치도 익산시 선화로 340, (2층), (마동)",,기타,,,2025-06-10
유니베라익산대리점,익산다이로움카드,전북특별자치도,익산시,전북특별자치도 익산시 고현로 108 (모현동1가),,식자재/유통,,,2025-06-10
